Start station number,Start station
0,
31000,Eads St & 15th St S
31001,18th St & S Eads St
31002,Crystal Dr & 20th St S
31003,Crystal Dr & 15th St S
31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St
31005,Pentagon City Metro / 12th St & S Hayes St
31006,Army Navy Dr & S Joyce St
31007,Crystal City Metro / 18th St & S Bell St
31008,12th & Army Navy Dr
31009,Crystal Dr & 27th St S
31010,S Glebe Rd & Potomac Ave
31011,Crystal Dr & 23rd St S
31012,Clark St & 26th St S
31013,Eads St & 22nd St S
31014,Lynn St & 19th St North
31015,Wilson Blvd & Ft Myer Dr
31016,Clarendon Blvd & Pierce St
31017,Wilson Blvd & N Uhle St
31018,Rhodes St & 16th St N
31019,Wilson Blvd & N Edgewood St
31020,Wilson Blvd & N Franklin Rd
31021,Clarendon Blvd & N Fillmore St
31022,Clarendon Metro / Wilson Blvd & N Highland St
31023,Fairfax Dr & Wilson Blvd
31024,Virginia Square Metro / Monroe St & 9th St N
31025,Central Library / Quincy St & 10th St N
31026,Washington Blvd & 10th St N
31027,Wilson Blvd & N Quinn St
31028,N Veitch St & Key Blvd
31029,N Veitch St & 20th St N
31030,Langston Blvd & N Adams St
31031,15th St & N Scott St
31032,Washington Blvd & 7th St N
31033,Barcroft Community Center
31034,Fairfax Dr & N Randolph St
31035,N Quincy St & Glebe Rd
31036,George Mason Dr & Wilson Blvd
31037,Ballston Metro / Stuart St & 9th St N
31038,Glebe Rd & 11th St N
31039,Wilson Blvd & N Quincy St
31040,GMU / Fairfax Dr & Kenmore St
31041,Prince St & Union St
31042,Market Square / King St & Royal St
31043,St Asaph & Pendleton St
31044,King St & Patrick St
31045,Commerce St & Fayette St
31046,Henry St & Pendleton St
31047,Braddock Rd Metro
31048,King St Metro South
31049,Utah St & 11th St N
31050,Barton St & 10th St N
31051,Arlington Blvd & N Queen St
31052,Potomac Ave & 35th St S
31053,Columbia Pike & S Courthouse Rd
31054,Wakefield High School
31055,28th St & S Meade St
31056,Troy St & 26th St S
31057,Four Mile Run Dr & S Shirlington Rd
31058,Columbia Pike & S Oakland St
31059,Four Mile Run Dr & S Walter Reed Dr
31060,S Arlington Mill Dr & Campbell Ave
31061,Kenmore St & 24th St S
31062,Roosevelt Island
31063,S George Mason & Four Mile Run Dr
31064,Gravelly Point
31065,Pershing Dr & Wayne St
31066,Columbia Pike & S Orme St
31067,Columbia Pike & S Walter Reed Dr
31068,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St
31069,Pershing Dr & N George Mason Dr
31070,Arlington Blvd & Fillmore St
31071,Eads St & 12th St S
31072,31st St & S Woodrow St
31073,Washington Blvd & Walter Reed Dr 
31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd
31075,Rolfe St & 9th St S
31076,S Randolph St & Campbell Ave
31077,Iwo Jima Memorial / Meade & 14th St N
31078,Arlington Blvd & S George Mason Dr
31079,Langston Blvd & N Cleveland St
31080,Langston Blvd & N Scott St
31081,Duke St & John Carlyle St
31082,Eisenhower Ave & Mill Race Ln
31083,Potomac Greens Dr & Slaters Ln
31084,Ballenger Ave & Dulaney St
31085,Mount Vernon Ave & E Nelson Ave
31086,Mount Vernon Ave & E Del Ray Ave
31087,Monroe Ave & Leslie Ave
31088,Mount Vernon Ave & Kennedy St
31089,Court House Metro / 15th St & N Uhle St
31090,Long Bridge Park / Long Bridge Dr & 6th St S
31091,Joyce St & 16th St S
31092,Langston Blvd & N Monroe St
31093,21st St & N Pierce St
31094,Langston Blvd & N Kirkwood St
31095,Army Navy Dr & S Nash St
31096,Walter Reed Dr & 8th St S
31097,Saint Asaph St & Madison St
31098,King St Metro North / Cameron St
31099,Madison St & N Henry St
31100,19th St & Pennsylvania Ave NW
31101,14th & V St NW
31102,11th & Kenyon St NW
31103,15th & Harvard St NW
31104,Adams Mill & Columbia Rd NW
31105,14th & Harvard St NW
31106,Calvert & Biltmore St NW
31107,Lamont & Mt Pleasant NW
31108,4th & M St SW
31109,7th & T St NW
31110,20th St & Florida Ave NW
31111,10th & U St NW
31112,Harvard St & Adams Mill Rd NW
31113,Columbia Rd & Belmont St NW
31114,18th St & Wyoming Ave NW
31115,Columbia Rd & Georgia Ave NW
31116,California St & Florida Ave NW
31117,15th & Euclid St NW
31118,3rd & Elm St NW
31119,14th & Belmont St NW
31120,10th & Florida Ave NW
31121,Calvert St & Woodley Pl NW
31122,16th & Irving St NW
31123,14th & Girard St NW
31124,14th & Irving St NW
31125,15th & W St NW
31126,11th & Girard St NW
31127,22nd & H St NW
31128,23rd & M St NW
31129,15th St & Pennsylvania Ave NW
31130,7th & S St NW
31131,14th & Otis Pl NW
31132,13th & U St NW
31133,20th & Columbia Rd NW
31134,8th & V St NW
31200,Massachusetts Ave & Dupont Circle NW
31201,15th & P St NW
31202,14th & R St NW
31203,14th & Rhode Island Ave NW
31204,20th & E St NW
31205,21st & I St NW
31206,19th & E Street NW
31207,Georgia Ave and Fairmont St NW
31208,M St & New Jersey Ave SE
31209,1st & N St SE
31211,Kennedy Center
31212,New Hampshire Ave & Ward Pl NW
31213,17th & K St NW
31214,17th & Corcoran St NW
31215,Georgetown Harbor / 30th St NW
31216,14th St & New York Ave NW
31217,USDA / 12th & C St SW
31218,L'Enfant Plaza / 7th & C St SW
31219,10th St & Constitution Ave NW
31220,US Dept of State / Virginia Ave & 21st St NW
31221,18th & M St NW
31222,New York Ave & 15th St NW
31223,Convention Center / 7th & M St NW
31224,18th & L St NW
31225,C & O Canal & Wisconsin Ave NW
31226,34th St & Wisconsin Ave NW
31227,13th St & New York Ave NW
31228,8th & H St NW
31229,New Hampshire Ave & T St NW
31230,Metro Center / 12th & G St NW
31231,14th & D St NW / Ronald Reagan Building
31232,7th & F St NW / National Portrait Gallery
31233,17th & K St NW / Farragut Square
31234,20th & O St NW / Dupont South
31235,19th St & Constitution Ave NW
31236,37th & O St NW / Georgetown University
31237,25th St & Pennsylvania Ave NW
31238,14th & G St NW
31239,Rhode Island & Connecticut Ave NW
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
31241,Thomas Circle
31242,18th St & Pennsylvania Ave NW
31243,4th & C St SW
31244,4th & E St SW
31245,7th & R St NW / Shaw Library
31246,M St & Pennsylvania Ave NW
31247,Jefferson Dr & 14th St SW
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW
31249,Jefferson Memorial
31250,20th & L St NW
31251,12th & L St NW
31252,21st St & Pennsylvania Ave NW
31253,19th & K St NW
31254,15th & K St NW
31255,24th & N St NW
31256,10th & E St NW
31257,22nd & I St NW / Foggy Bottom
31258,Lincoln Memorial
31259,20th St & Virginia Ave NW
31260,23rd & E St NW 
31261,21st St & Constitution Ave NW
31262,11th & F St NW
31263,10th & K St NW
